Word: The, PoS: determiners, Count: 1
Word: Only, PoS: determiners, Count: 1
Word: a, PoS: determiners, Count: 1
Word: a, PoS: nouns, Count: 4
Word: a, PoS: prepositions, Count: 2
Word: a, PoS: others, Count: 1
Word: relative, PoS: adjectives, Count: 43
Word: relative, PoS: nouns, Count: 1
Word: handful, PoS: nouns, Count: 13
Word: such, PoS: adjectives, Count: 1
Word: such, PoS: others, Count: 1
Word: such, PoS: adverbs, Count: 1
Word: received, PoS: verbs, Count: 163
Word: considering, PoS: prepositions, Count: 16
Word: considering, PoS: verbs, Count: 23
Word: widespread, PoS: adjectives, Count: 29
Word: widespread, PoS: adverbs, Count: 1
Word: interest, PoS: nouns, Count: 322
Word: interest, PoS: verbs, Count: 3
Word: number, PoS: nouns, Count: 470
Word: number, PoS: verbs, Count: 1
Word: voters, PoS: nouns, Count: 20
Word: size, PoS: nouns, Count: 136
Word: size, PoS: verbs, Count: 2
Word: this, PoS: determiners, Count: 1
Word: this, PoS: adverbs, Count: 1
Word: it, PoS: pronouns, Count: 1
Word: it, PoS: others, Count: 1
Word: did, PoS: verbs, Count: 1
Word: find, PoS: verbs, Count: 392
Word: find, PoS: nouns, Count: 3
Word: many, PoS: determiners, Count: 925
Word: many, PoS: adverbs, Count: 8
Word: many, PoS: others, Count: 1
Word: georgia's, PoS: nouns, Count: 6
Word: registration, PoS: nouns, Count: 23
Word: laws, PoS: nouns, Count: 87
Word: are, PoS: verbs, Count: 2
Word: outmoded, PoS: adjectives, Count: 4
Word: or, PoS: conjunctions, Count: 1
Word: or, PoS: others, Count: 1
Word: inadequate, PoS: adjectives, Count: 32
Word: often, PoS: adverbs, Count: 349
Word: ambiguous, PoS: adjectives, Count: 22
Word: It, PoS: pronouns, Count: 1
Word: recommended, PoS: verbs, Count: 46
Word: legislators, PoS: nouns, Count: 17
Word: act, PoS: verbs, Count: 74
Word: act, PoS: nouns, Count: 208
Word: have, PoS: verbs, Count: 1
Word: these, PoS: determiners, Count: 1
Word: studied, PoS: verbs, Count: 79
Word: revised, PoS: verbs, Count: 16
Word: end, PoS: nouns, Count: 367
Word: end, PoS: verbs, Count: 40
Word: modernizing, PoS: verbs, Count: 3
Word: modernizing, PoS: nouns, Count: 1
Word: improving, PoS: verbs, Count: 16
Word: them, PoS: pronouns, Count: 1
Word: them, PoS: determiners, Count: 1
Word: them, PoS: others, Count: 1
Word: commented, PoS: verbs, Count: 18
Word: on, PoS: prepositions, Count: 2
Word: on, PoS: others, Count: 2
Word: other, PoS: determiners, Count: 2
Word: topics, PoS: nouns, Count: 10
Word: among, PoS: prepositions, Count: 318
Word: among, PoS: others, Count: 1
Word: purchasing, PoS: verbs, Count: 14
Word: purchasing, PoS: nouns, Count: 2
Word: departments, PoS: nouns, Count: 25
Word: well, PoS: adverbs, Count: 703
Word: well, PoS: adjectives, Count: 15
Word: well, PoS: nouns, Count: 17
Word: well, PoS: others, Count: 39
Word: well, PoS: verbs, Count: 4
Word: operated, PoS: verbs, Count: 27
Word: follow, PoS: verbs, Count: 91
Word: generally, PoS: adverbs, Count: 119
Word: accepted, PoS: verbs, Count: 96
Word: practices, PoS: nouns, Count: 50
Word: practices, PoS: verbs, Count: 1
Word: inure, PoS: verbs, Count: 2
Word: best, PoS: adjectives, Count: 286
Word: best, PoS: adverbs, Count: 54
Word: best, PoS: verbs, Count: 1
Word: best, PoS: nouns, Count: 4
Word: both, PoS: determiners, Count: 1
Word: governments, PoS: nouns, Count: 59
Word: Merger, PoS: nouns, Count: 1
Word: proposed, PoS: verbs, Count: 82
Word: however, PoS: adverbs, Count: 357
Word: however, PoS: pronouns, Count: 27
Word: believes, PoS: verbs, Count: 43
Word: two, PoS: others, Count: 1322
Word: offices, PoS: nouns, Count: 45
Word: should, PoS: verbs, Count: 1
Word: be, PoS: verbs, Count: 1
Word: be, PoS: others, Count: 2
Word: combined, PoS: verbs, Count: 40
Word: achieve, PoS: verbs, Count: 51
Word: greater, PoS: adjectives, Count: 187
Word: efficiency, PoS: nouns, Count: 48
Word: reduce, PoS: verbs, Count: 62
Word: cost, PoS: nouns, Count: 182
Word: cost, PoS: verbs, Count: 44
Word: administration, PoS: nouns, Count: 160
Word: City, PoS: nouns, Count: 8
Word: department, PoS: nouns, Count: 218
Word: is, PoS: verbs, Count: 1
Word: is, PoS: others, Count: 1
Word: lacking, PoS: verbs, Count: 26
Word: experienced, PoS: verbs, Count: 52
Word: experienced, PoS: adjectives, Count: 1
Word: clerical, PoS: adjectives, Count: 9
Word: personnel, PoS: nouns, Count: 72
Word: personnel, PoS: adjectives, Count: 1
Word: as, PoS: conjunctions, Count: 2
Word: as, PoS: adverbs, Count: 1
Word: as, PoS: prepositions, Count: 1
Word: as, PoS: others, Count: 1
Word: result, PoS: nouns, Count: 196
Word: result, PoS: verbs, Count: 47
Word: policies, PoS: nouns, Count: 66
Word: urged, PoS: verbs, Count: 34
Word: take, PoS: verbs, Count: 578
Word: take, PoS: nouns, Count: 4
Word: steps, PoS: nouns, Count: 117
Word: steps, PoS: verbs, Count: 1
Word: remedy, PoS: verbs, Count: 3
Word: remedy, PoS: nouns, Count: 10
Word: problem, PoS: nouns, Count: 313
Word: Implementation, PoS: nouns, Count: 3
Word: automobile, PoS: nouns, Count: 49
Word: title, PoS: nouns, Count: 76
Word: law, PoS: nouns, Count: 296
Word: also, PoS: adverbs, Count: 1000
Word: outgoing, PoS: adjectives, Count: 8
Word: next, PoS: determiners, Count: 292
Word: next, PoS: prepositions, Count: 37
Word: next, PoS: adverbs, Count: 34
Word: legislature, PoS: nouns, Count: 38
Word: provide, PoS: verbs, Count: 214
Word: enabling, PoS: verbs, Count: 13
Word: funds, PoS: nouns, Count: 91
Word: re-set, PoS: verbs, Count: 1
Word: effective, PoS: adjectives, Count: 128
Word: date, PoS: nouns, Count: 98
Word: date, PoS: verbs, Count: 5
Word: so, PoS: conjunctions, Count: 1
Word: so, PoS: adverbs, Count: 1
Word: orderly, PoS: adjectives, Count: 19
Word: orderly, PoS: nouns, Count: 1
Word: implementation, PoS: nouns, Count: 5
Word: may, PoS: verbs, Count: 1295
Word: may, PoS: nouns, Count: 89
Word: may, PoS: others, Count: 1
Word: effected, PoS: verbs, Count: 12
Word: swipe, PoS: nouns, Count: 2
Word: at, PoS: prepositions, Count: 1
Word: state, PoS: nouns, Count: 762
Word: state, PoS: verbs, Count: 20
Word: welfare, PoS: nouns, Count: 53
Word: department's, PoS: nouns, Count: 16
Word: handling, PoS: nouns, Count: 23
Word: handling, PoS: verbs, Count: 15
Word: federal, PoS: adjectives, Count: 233
Word: granted, PoS: verbs, Count: 53
Word: child, PoS: nouns, Count: 213
Word: services, PoS: nouns, Count: 136
Word: services, PoS: verbs, Count: 1
Word: foster, PoS: adjectives, Count: 2
Word: foster, PoS: nouns, Count: 6
Word: foster, PoS: verbs, Count: 3
Word: homes, PoS: nouns, Count: 61
Word: This, PoS: determiners, Count: 1
Word: one, PoS: others, Count: 2899
Word: one, PoS: determiners, Count: 2
Word: major, PoS: adjectives, Count: 223
Word: major, PoS: nouns, Count: 21
Word: major, PoS: verbs, Count: 1
Word: items, PoS: nouns, Count: 72
Word: general, PoS: adjectives, Count: 366
Word: general, PoS: nouns, Count: 111
Word: assistance, PoS: nouns, Count: 86
Word: program, PoS: nouns, Count: 386
Word: program, PoS: verbs, Count: 5
Word: program, PoS: others, Count: 1
Word: but, PoS: conjunctions, Count: 1
Word: but, PoS: prepositions, Count: 1
Word: but, PoS: adverbs, Count: 1
Word: has, PoS: verbs, Count: 1
Word: has, PoS: others, Count: 1
Word: seen, PoS: verbs, Count: 276
Word: fit, PoS: adjectives, Count: 9
Word: fit, PoS: verbs, Count: 51
Word: fit, PoS: nouns, Count: 15
Word: distribute, PoS: verbs, Count: 6
Word: through, PoS: prepositions, Count: 1
Word: through, PoS: others, Count: 1
Word: all, PoS: determiners, Count: 1
Word: all, PoS: adverbs, Count: 1
Word: counties, PoS: nouns, Count: 35
Word: with, PoS: prepositions, Count: 1
Word: with, PoS: adverbs, Count: 1
Word: exception, PoS: nouns, Count: 40
Word: receives, PoS: verbs, Count: 20
Word: none, PoS: others, Count: 92
Word: money, PoS: nouns, Count: 261
Word: jurors, PoS: nouns, Count: 4
Word: they, PoS: pronouns, Count: 1
Word: realize, PoS: verbs, Count: 69
Word: proportionate, PoS: adjectives, Count: 9
Word: distribution, PoS: nouns, Count: 83
Word: might, PoS: verbs, Count: 658
Word: might, PoS: nouns, Count: 13
Word: disable, PoS: verbs, Count: 1
Word: our, PoS: pronouns, Count: 1
Word: less, PoS: adverbs, Count: 200
Word: less, PoS: determiners, Count: 226
Word: populous, PoS: adjectives, Count: 5
Word: Nevertheless, PoS: adverbs, Count: 41
Word: we, PoS: pronouns, Count: 1
Word: feel, PoS: verbs, Count: 201
Word: feel, PoS: nouns, Count: 15
Word: future, PoS: nouns, Count: 137
Word: future, PoS: adjectives, Count: 86
Word: receive, PoS: verbs, Count: 76
Word: some, PoS: others, Count: 1
Word: some, PoS: adverbs, Count: 1
Word: portion, PoS: nouns, Count: 62
Word: available, PoS: adjectives, Count: 243
Word: Failure, PoS: nouns, Count: 4
Word: do, PoS: verbs, Count: 1
Word: do, PoS: nouns, Count: 2
Word: will, PoS: verbs, Count: 1
Word: will, PoS: nouns, Count: 10
Word: continue, PoS: verbs, Count: 105
Word: disproportionate, PoS: adjectives, Count: 2
Word: burden, PoS: nouns, Count: 43
Word: burden, PoS: verbs, Count: 1
Word: taxpayers, PoS: nouns, Count: 20
Word: ordinary's, PoS: nouns, Count: 1
Word: under, PoS: prepositions, Count: 1
Word: under, PoS: adverbs, Count: 1
Word: under, PoS: adjectives, Count: 3
Word: fire, PoS: nouns, Count: 174
Word: fire, PoS: verbs, Count: 11
Word: its, PoS: pronouns, Count: 1
Word: appointment, PoS: nouns, Count: 27
Word: appraisers, PoS: nouns, Count: 1
Word: guardians, PoS: nouns, Count: 4
Word: administrators, PoS: nouns, Count: 5
Word: awarding, PoS: nouns, Count: 1
Word: awarding, PoS: verbs, Count: 2
Word: fees, PoS: nouns, Count: 27
Word: compensation, PoS: nouns, Count: 17
Word: Wards, PoS: nouns, Count: 1
Word: protected, PoS: verbs, Count: 31
Word: found, PoS: verbs, Count: 536
Word: incorporated, PoS: verbs, Count: 13
Word: into, PoS: prepositions, Count: 1
Word: into, PoS: others, Count: 1
Word: operating, PoS: verbs, Count: 82
Word: procedures, PoS: nouns, Count: 61
Word: recommendations, PoS: nouns, Count: 22
Word: previous, PoS: adjectives, Count: 74
Word: previous, PoS: adverbs, Count: 2
Word: previous, PoS: determiners, Count: 8
Word: juries, PoS: nouns, Count: 1
Word: bar, PoS: nouns, Count: 78
Word: bar, PoS: verbs, Count: 3
Word: association, PoS: nouns, Count: 129
Word: interim, PoS: nouns, Count: 5
Word: interim, PoS: adjectives, Count: 5
Word: citizens, PoS: nouns, Count: 84
Word: These, PoS: determiners, Count: 1
Word: actions, PoS: nouns, Count: 67
Word: serve, PoS: verbs, Count: 103
Word: protect, PoS: verbs, Count: 34
Word: fact, PoS: nouns, Count: 447
Word: effect, PoS: nouns, Count: 197
Word: effect, PoS: verbs, Count: 16
Word: court's, PoS: nouns, Count: 6
Word: wards, PoS: nouns, Count: 2
Word: from, PoS: prepositions, Count: 1
Word: undue, PoS: adjectives, Count: 13
Word: costs, PoS: nouns, Count: 160
Word: costs, PoS: verbs, Count: 12
Word: appointed, PoS: verbs, Count: 42
Word: elected, PoS: verbs, Count: 32
Word: servants, PoS: nouns, Count: 22
Word: unmeritorious, PoS: adjectives, Count: 1
Word: criticisms, PoS: nouns, Count: 11
Word: Regarding, PoS: prepositions, Count: 1
Word: new, PoS: adjectives, Count: 1556
Word: multi-million-dollar, PoS: adjectives, Count: 2
Word: airport, PoS: nouns, Count: 19
Word: when, PoS: adverbs, Count: 1
Word: management, PoS: nouns, Count: 91
Word: takes, PoS: verbs, Count: 86
Word: Jan., PoS: nouns, Count: 20
Word: eliminate, PoS: verbs, Count: 25
Word: political, PoS: adjectives, Count: 255
Word: influences, PoS: nouns, Count: 11
Word: influences, PoS: verbs, Count: 3
Word: not, PoS: others, Count: 1
Word: elaborate, PoS: verbs, Count: 6
Word: elaborate, PoS: adjectives, Count: 25
Word: added, PoS: verbs, Count: 171
Word: there, PoS: others, Count: 1
Word: there, PoS: adverbs, Count: 1
Word: periodic, PoS: adjectives, Count: 8
Word: surveillance, PoS: nouns, Count: 6
Word: pricing, PoS: verbs, Count: 5
Word: pricing, PoS: nouns, Count: 2
Word: concessionaires, PoS: nouns, Count: 6
Word: purpose, PoS: nouns, Count: 147
Word: keeping, PoS: verbs, Count: 54
Word: keeping, PoS: nouns, Count: 3
Word: prices, PoS: nouns, Count: 61
Word: reasonable, PoS: adjectives, Count: 64
Word: Ask, PoS: verbs, Count: 10
Word: jail, PoS: nouns, Count: 21
Word: deputies, PoS: nouns, Count: 13
Word: On, PoS: prepositions, Count: 1
Word: On, PoS: others, Count: 0
Word: matters, PoS: nouns, Count: 59
Word: matters, PoS: verbs, Count: 5
Word: four, PoS: others, Count: 337
Word: additional, PoS: adjectives, Count: 106
Word: employed, PoS: verbs, Count: 49
Word: doctor, PoS: nouns, Count: 99
Word: medical, PoS: adjectives, Count: 158
Word: intern, PoS: nouns, Count: 2
Word: extern, PoS: nouns, Count: 1
Word: night, PoS: nouns, Count: 409
Word: weekend, PoS: nouns, Count: 27
Word: duty, PoS: nouns, Count: 60
Word: Fulton, PoS: nouns, Count: 2
Word: work, PoS: verbs, Count: 179
Word: work, PoS: nouns, Count: 576
Word: officials, PoS: nouns, Count: 59
Word: pass, PoS: verbs, Count: 64
Word: pass, PoS: nouns, Count: 23
Word: legislation, PoS: nouns, Count: 45
Word: permit, PoS: verbs, Count: 66
Word: permit, PoS: nouns, Count: 11
Word: establishment, PoS: nouns, Count: 52
Word: fair, PoS: adjectives, Count: 67
Word: fair, PoS: nouns, Count: 7
Word: fair, PoS: adverbs, Count: 2
Word: equitable, PoS: adjectives, Count: 11
Word: pension, PoS: nouns, Count: 13
Word: plan, PoS: nouns, Count: 175
Word: plan, PoS: verbs, Count: 30
Word: employes, PoS: nouns, Count: 15
Word: praised, PoS: verbs, Count: 13
Word: operation, PoS: nouns, Count: 111
Word: police, PoS: nouns, Count: 149
Word: tax, PoS: nouns, Count: 193
Word: tax, PoS: verbs, Count: 5
Word: commissioner's, PoS: nouns, Count: 1
Word: office, PoS: nouns, Count: 251
Word: bellwood, PoS: nouns, Count: 1
Word: alpharetta, PoS: nouns, Count: 1
Word: prison, PoS: nouns, Count: 42
Word: farms, PoS: nouns, Count: 16
Word: grady, PoS: nouns, Count: 5
Word: hospital, PoS: nouns, Count: 108
Word: health, PoS: nouns, Count: 103
Word: Mayor, PoS: nouns, Count: 9
Word: william, PoS: nouns, Count: 123
Word: B., PoS: nouns, Count: 76
Word: hartsfield, PoS: nouns, Count: 3
Word: filed, PoS: verbs, Count: 33
Word: suit, PoS: nouns, Count: 40
Word: suit, PoS: verbs, Count: 8
Word: divorce, PoS: nouns, Count: 23
Word: divorce, PoS: verbs, Count: 6
Word: his, PoS: pronouns, Count: 1
Word: his, PoS: others, Count: 1
Word: wife, PoS: nouns, Count: 228
Word: pearl, PoS: nouns, Count: 9
Word: williams, PoS: nouns, Count: 30
Word: His, PoS: pronouns, Count: 1
Word: His, PoS: others, Count: 1
Word: petition, PoS: nouns, Count: 14
Word: petition, PoS: verbs, Count: 1
Word: mental, PoS: adjectives, Count: 42
Word: cruelty, PoS: nouns, Count: 13
Word: couple, PoS: nouns, Count: 122
Word: married, PoS: verbs, Count: 104
Word: Aug., PoS: nouns, Count: 25
Word: They, PoS: pronouns, Count: 1
Word: son, PoS: nouns, Count: 161
Word: berry, PoS: nouns, Count: 8
Word: daughter, PoS: nouns, Count: 71
Word: Mrs., PoS: nouns, Count: 534
Word: J., PoS: nouns, Count: 120
Word: M., PoS: nouns, Count: 62
Word: cheshire, PoS: nouns, Count: 1
Word: griffin, PoS: nouns, Count: 4
Word: Attorneys, PoS: nouns, Count: 2
Word: mayor, PoS: nouns, Count: 29
Word: amicable, PoS: adjectives, Count: 1
Word: property, PoS: nouns, Count: 155
Word: settlement, PoS: nouns, Count: 26
Word: agreed, PoS: verbs, Count: 81
Word: upon, PoS: adverbs, Count: 44
Word: upon, PoS: prepositions, Count: 434
Word: listed, PoS: verbs, Count: 43
Word: mayor's, PoS: nouns, Count: 9
Word: occupation, PoS: nouns, Count: 24
Word: attorney, PoS: nouns, Count: 58
Word: age, PoS: nouns, Count: 224
Word: age, PoS: verbs, Count: 2
Word: wife's, PoS: nouns, Count: 15
Word: birth, PoS: nouns, Count: 66
Word: opelika, PoS: nouns, Count: 2
Word: Ala., PoS: nouns, Count: 7
Word: lived, PoS: verbs, Count: 113
Word: together, PoS: adverbs, Count: 261
Word: man, PoS: nouns, Count: 1188
Word: man, PoS: verbs, Count: 3
Word: more, PoS: determiners, Count: 1
Word: more, PoS: adverbs, Count: 1
Word: more, PoS: nouns, Count: 2
Word: more, PoS: others, Count: 1
Word: than, PoS: prepositions, Count: 1
Word: than, PoS: conjunctions, Count: 3
Word: year, PoS: nouns, Count: 656
Word: year, PoS: others, Count: 2
Word: Hartsfield, PoS: nouns, Count: 2
Word: home, PoS: others, Count: 305
Word: home, PoS: nouns, Count: 236
Word: home, PoS: verbs, Count: 1
Word: E., PoS: nouns, Count: 85
Word: E., PoS: adjectives, Count: 1
Word: pelham, PoS: nouns, Count: 3
Word: Rd., PoS: nouns, Count: 3
Word: aj, PoS: nouns, Count: 118
Word: Henry, PoS: nouns, Count: 14
Word: L., PoS: nouns, Count: 54
Word: bowden, PoS: nouns, Count: 2
Word: brief, PoS: adjectives, Count: 61
Word: brief, PoS: nouns, Count: 9
Word: interlude, PoS: nouns, Count: 5
Word: since, PoS: prepositions, Count: 153
Word: since, PoS: conjunctions, Count: 285
Word: since, PoS: adverbs, Count: 29
Word: career, PoS: nouns, Count: 67
Word: goes, PoS: verbs, Count: 89
Word: back, PoS: adverbs, Count: 724
Word: back, PoS: verbs, Count: 25
Word: back, PoS: nouns, Count: 176
Word: back, PoS: adjectives, Count: 29
Word: council, PoS: nouns, Count: 99
Word: present, PoS: adjectives, Count: 220
Word: present, PoS: adverbs, Count: 63
Word: present, PoS: nouns, Count: 45
Word: present, PoS: verbs, Count: 39
Word: present, PoS: determiners, Count: 4
Word: expires, PoS: verbs, Count: 1
Word: He, PoS: pronouns, Count: 1
Word: succeeded, PoS: verbs, Count: 33
Word: who, PoS: others, Count: 1
Word: who, PoS: pronouns, Count: 1
Word: became, PoS: verbs, Count: 245
Word: candidate, PoS: nouns, Count: 34
Word: Sept., PoS: nouns, Count: 34
Word: after, PoS: conjunctions, Count: 1
Word: after, PoS: prepositions, Count: 2
Word: after, PoS: adverbs, Count: 1
Word: after, PoS: others, Count: 1
Word: announced, PoS: verbs, Count: 88
Word: he, PoS: pronouns, Count: 1
Word: he, PoS: others, Count: 1
Word: would, PoS: verbs, Count: 2680
Word: run, PoS: verbs, Count: 155
Word: run, PoS: nouns, Count: 55
Word: reelection, PoS: nouns, Count: 2
Word: Georgia, PoS: nouns, Count: 6
Word: republicans, PoS: nouns, Count: 25
Word: getting, PoS: verbs, Count: 156
Word: getting, PoS: nouns, Count: 2
Word: strong, PoS: adjectives, Count: 192
Word: strong, PoS: nouns, Count: 1
Word: strong, PoS: adverbs, Count: 3
Word: encouragement, PoS: nouns, Count: 14
Word: enter, PoS: verbs, Count: 78
Word: governor's, PoS: nouns, Count: 14
Word: race, PoS: nouns, Count: 99
Word: race, PoS: verbs, Count: 4
Word: top, PoS: others, Count: 68
Word: top, PoS: nouns, Count: 129
Word: top, PoS: verbs, Count: 3
Word: official, PoS: nouns, Count: 20
Word: official, PoS: adjectives, Count: 52
Word: wednesday, PoS: others, Count: 30
Word: Robert, PoS: nouns, Count: 10
Word: snodgrass, PoS: nouns, Count: 2
Word: gop, PoS: nouns, Count: 12
Word: chairman, PoS: nouns, Count: 64
Word: meeting, PoS: nouns, Count: 125
Word: meeting, PoS: verbs, Count: 29
Word: held, PoS: verbs, Count: 260
Word: tuesday, PoS: others, Count: 57
Word: blue, PoS: adjectives, Count: 115
Word: blue, PoS: nouns, Count: 17
Word: ridge, PoS: nouns, Count: 18
Word: brought, PoS: verbs, Count: 253
Word: enthusiastic, PoS: adjectives, Count: 24
Word: responses, PoS: nouns, Count: 27
Word: audience, PoS: nouns, Count: 115
Word: State, PoS: nouns, Count: 25
Word: party, PoS: nouns, Count: 214
Word: party, PoS: verbs, Count: 1
Word: james, PoS: nouns, Count: 97
Word: W., PoS: nouns, Count: 82
Word: W., PoS: adjectives, Count: 1
Word: dorsey, PoS: nouns, Count: 1
Word: enthusiasm, PoS: nouns, Count: 28
Word: picking, PoS: verbs, Count: 13
Word: picking, PoS: nouns, Count: 1
Word: up, PoS: others, Count: 1
Word: up, PoS: prepositions, Count: 1
Word: rally, PoS: nouns, Count: 5
Word: rally, PoS: verbs, Count: 5
Word: savannah, PoS: nouns, Count: 9
Word: newly, PoS: adverbs, Count: 26
Word: newly, PoS: adjectives, Count: 2
Word: texas, PoS: nouns, Count: 67
Word: Sen., PoS: nouns, Count: 30
Word: john, PoS: nouns, Count: 298
Word: tower, PoS: nouns, Count: 13
Word: featured, PoS: verbs, Count: 8
Word: speaker, PoS: nouns, Count: 47
Word: In, PoS: prepositions, Count: 1
Word: In, PoS: others, Count: 1
Word: warned, PoS: verbs, Count: 22
Word: entering, PoS: verbs, Count: 24
Word: governor, PoS: nouns, Count: 71
Word: force, PoS: verbs, Count: 24
Word: force, PoS: nouns, Count: 206
Word: petitions, PoS: nouns, Count: 6
Word: petitions, PoS: verbs, Count: 1
Word: out, PoS: others, Count: 1
Word: out, PoS: prepositions, Count: 1
Word: out, PoS: pronouns, Count: 1
Word: out, PoS: adverbs, Count: 8
Word: voting, PoS: verbs, Count: 21
Word: voting, PoS: nouns, Count: 7
Word: precincts, PoS: nouns, Count: 5
Word: obtain, PoS: verbs, Count: 42
Word: signatures, PoS: nouns, Count: 5
Word: registered, PoS: verbs, Count: 23
Word: Despite, PoS: prepositions, Count: 37
Word: warning, PoS: verbs, Count: 26
Word: warning, PoS: nouns, Count: 18
Word: unanimous, PoS: adjectives, Count: 5
Word: vote, PoS: nouns, Count: 49
Word: vote, PoS: verbs, Count: 26
Word: according, PoS: prepositions, Count: 100
Word: according, PoS: verbs, Count: 2
Word: according, PoS: adverbs, Count: 10
Word: attended, PoS: verbs, Count: 36
Word: When, PoS: adverbs, Count: 1
Word: crowd, PoS: nouns, Count: 51
Word: crowd, PoS: verbs, Count: 2
Word: asked, PoS: verbs, Count: 383
Word: whether, PoS: conjunctions, Count: 259
Word: wanted, PoS: verbs, Count: 226
Word: wait, PoS: verbs, Count: 71
Word: wait, PoS: nouns, Count: 12
Word: make, PoS: verbs, Count: 770
Word: make, PoS: nouns, Count: 3
Word: voted, PoS: verbs, Count: 27
Word: were, PoS: verbs, Count: 1
Word: dissents, PoS: nouns, Count: 2
Word: largest, PoS: adjectives, Count: 53
Word: hurdle, PoS: nouns, Count: 2
Word: hurdle, PoS: verbs, Count: 1
Word: face, PoS: verbs, Count: 51
Word: face, PoS: nouns, Count: 320
Word: says, PoS: verbs, Count: 193
Word: says, PoS: nouns, Count: 1
Word: before, PoS: conjunctions, Count: 1
Word: before, PoS: prepositions, Count: 1
Word: before, PoS: adverbs, Count: 1
Word: before, PoS: others, Count: 1
Word: making, PoS: verbs, Count: 231
Word: making, PoS: nouns, Count: 24
Word: first, PoS: others, Count: 995
Word: first, PoS: adverbs, Count: 298
Word: alternative, PoS: adjectives, Count: 9
Word: alternative, PoS: nouns, Count: 25
